Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
University of New Mexico Health Sciences Center,NM,Healthcare Provider,1900,2/23/2010,Other,Desktop Computer,No
Advanced NeuroSpinal Care,CA,Healthcare Provider,3500,2/23/2010,Theft,Network Server,No
"Central Brooklyn Medical Group, PC",NY,Healthcare Provider,500,2/25/2010,Theft,Paper/Films,No
Shands at UF,FL,Healthcare Provider,12580,3/1/2010,Theft,Laptop,No
Wyoming Department of Health,WY,Health Plan,9023,3/2/2010,,Network Server,No
Thrivent Financial for Lutherans,WI,Health Plan,9500,3/3/2010,Theft,Laptop,No
North Carolina Baptist Hospital,NC,Healthcare Provider,554,3/3/2010,Theft,Paper/Films,No
Montefiore Medical Center,NY,Healthcare Provider,625,3/9/2010,Theft,Laptop,No
"Ernest T. Bice, Jr. DDS, P.A.",TX,Healthcare Provider,21000,3/10/2010,Theft,"Other, Other Portable Electronic Device",No
Lee Memorial Health System,FL,Healthcare Provider,3800,3/17/2010,Other,Paper/Films,No
"Laboratory Corporation of America/Dynacare Northwest, Inc.",WA,Healthcare Provider,5080,3/18/2010,Theft,Laptop,No
Mount Sinai Medical Center,FL,Healthcare Provider,2600,3/23/2010,Theft,Laptop,No
Griffin Hospital,CT,Healthcare Provider,957,3/26/2010,Hacking/IT Incident,Network Server,No
"Hypertension, Nephrology, Dialysis and Transplantation, PC",AL,Healthcare Provider,2465,3/27/2010,Theft,Laptop,No
"Computer Program and Systems, Inc. (CPSI)",AL,Business Associate,768,3/30/2010,,Email,Yes
"Laboratory Corporation of America / US LABS / Dianon Systems, Inc",AZ,Healthcare Provider,2773,4/1/2010,Theft,Other Portable Electronic Device,No
University of Pittsburgh Student Health Center,PA,Healthcare Provider,8000,4/2/2010,"Loss, Theft",Paper/Films,No
VHS Genesis Lab Inc. ,IL,Healthcare Provider,6800,4/5/2010,Loss,Paper/Films,No
Providence Hospital,MI,Healthcare Provider,83945,4/5/2010,Other,Other,No
Pediatric Sports and Spine Associates,TX,Healthcare Provider,955,4/9/2010,Theft,Laptop,No
"McKesson Information Solutions, LLC",GA,Business Associate,660,4/9/2010,Other,Paper/Films,Yes
"Affinity Health Plan, Inc.",NY,Health Plan,344579,4/14/2010,Theft,Other,No
Tomah Memorial Hospital,WI,Healthcare Provider,600,4/16/2010,Other,Other,No
"Praxair Healthcare Services, Inc. (Home Care Supply in NY)",CT,Healthcare Provider,54165,4/19/2010,Theft,Laptop,No
Massachusetts Eye and Ear Infirmary,MA,Healthcare Provider,3594,4/20/2010,Theft,Laptop,No
Blue Cross & Blue Shield of Rhode Island,RI,Health Plan,12000,4/21/2010,Theft,Paper/Films,No
South Carolina Department of Health and Environmental Control,SC,Health Plan,2850,4/22/2010,Improper Disposal,Paper/Films,No
St. Joseph Heritage Healthcare,CA,Healthcare Provider,22012,4/23/2010,Theft,Desktop Computer,No
John Muir Physician Network,CA,Healthcare Provider,5450,4/24/2010,Theft,Laptop,No
Medical Center At Bowling Green,KY,Healthcare Provider,5148,4/26/2010,Theft,"Other, Other Portable Electronic Device",No
UnitedHealth Group health plan single affiliated covered entity,MN,Health Plan,735,4/27/2010,Theft,"Other, Paper/Films",No
TOWERS WATSON,VA,Business Associate,1874,4/27/2010,Theft,Other,Yes
South Texas Veterans Health Care System,TX,Healthcare Provider,1430,4/28/2010,"Improper Disposal, Loss",Paper/Films,No
Rockbridge Area Community Services,VA,Healthcare Provider,500,4/29/2010,Theft,"Desktop Computer, Laptop",No
"Millennium Medical Management Resources, Inc.",IL,Business Associate,180111,4/29/2010,Theft,"Other, Other Portable Electronic Device",Yes
Miami VA Healthcare System,FL,Healthcare Provider,568,5/5/2010,Theft,Paper/Films,No
VA Eastern Colorado Health Care System,CO,Healthcare Provider,649,5/5/2010,Theft,Paper/Films,No
"Heriberto Rodriguez-Ayala, M.D.",TX,Healthcare Provider,4200,5/11/2010,Theft,Laptop,No
Georgetown University Hospital,DC,Healthcare Provider,2416,5/13/2010,"Other, Theft","Email, Other Portable Electronic Device",No
Silicon Valley Eyecare Optometry and Contact Lenses,CA,Healthcare Provider,40000,5/13/2010,Theft,Network Server,No
Heritage Health Solutions,TX,Business Associate,656,5/14/2010,Theft,Laptop,Yes
Oconee Physician Practices,SC,Healthcare Provider,653,5/20/2010,Theft,Laptop,No
University of Rochester Medical Center and Affiliates,NY,Healthcare Provider,2628,5/20/2010,Other,Paper/Films,No
"Omaha Construction Industry , Privacy Manager Breach",NE,,800,5/21/2010,Theft,Laptop,Yes
"City of Charlotte, NC (Health Plan)",NC,Health Plan,5220,5/24/2010,Loss,Other,No
VA North Texas Health Care System,TX,Healthcare Provider,4083,5/25/2010,Improper Disposal,Paper/Films,No
Rainbow Hospice and Palliative Care,IL,Healthcare Provider,1000,5/26/2010,Theft,Laptop,No
Occupational Health Partners,KS,Healthcare Provider,1105,6/1/2010,Theft,Laptop,No
"University of Louisville Research Foundation, Inc., DBA The Kidney Disease Program",KY,Healthcare Provider,708,6/1/2010,Hacking/IT Incident,Network Server,No
Cincinnati Childrens Hospital Medical Center ,OH,Healthcare Provider,60998,6/1/2010,Theft,Laptop,No
"AvMed, Inc.",FL,Health Plan,1220000,6/3/2010,Theft,Laptop,No
"Nihal Saran, MD ",MI,Healthcare Provider,2300,6/4/2010,Theft,Laptop,No
"Siemens Medical Solutions, USA, Inc",PA,Business Associate,130495,6/4/2010,Theft,Other,Yes
UnitedHealth Group health plan single affiliated covered entity,MN,Health Plan,16291,6/4/2010,Other,Paper/Films,No
St. Jude Children's Research Hospital,TN,Healthcare Provider,1745,6/8/2010,Loss,Laptop,No
DentaQuest,MA,Business Associate,10515,6/9/2010,Theft,Laptop,Yes
Comprehensive Care Management Corporation,NY,Health Plan,1020,6/14/2010,Theft,"Desktop Computer, Email, Laptop, Network Server",No
The Children's Medical Center of Dayton,OH,Healthcare Provider,1001,6/14/2010,Other,Email,No
University of Kentucky,KY,Healthcare Provider,2027,6/18/2010,Theft,Laptop,No
alma aguado md pa,TX,Healthcare Provider,600,6/21/2010,Theft,Network Server,No
"Augusta Data Storage, Inc",GA,Business Associate,14000,6/21/2010,Loss,Other,Yes
University Health System,NV,Healthcare Provider,7526,6/22/2010,Theft,Network Server,No
"Aramark Healthcare Support Services, LLC",PA,Business Associate,937,6/24/2010,Other,Email,Yes
"Mary M. Desch,MD/PathHealer, LTD",AZ,Healthcare Provider,5893,6/28/2010,Theft,Laptop,No
Children's Hospital & Research Center at Oakland,CA,Healthcare Provider,1000,6/29/2010,Other,Paper/Films,No
Centerstone,TN,Healthcare Provider,1537,7/2/2010,Theft,"Desktop Computer, Paper/Films",No
Care 1st Health Plan,CA,Business Associate,29000,7/6/2010,"Loss, Other","Other, Other Portable Electronic Device",Yes
NYU Hospitals Center,NY,Healthcare Provider,2563,7/7/2010,Theft,Other Portable Electronic Device,No
Long Island Consultation Center,NY,Healthcare Provider,800,7/7/2010,Theft,"Other, Other Portable Electronic Device",No
SunBridge Healthcare Corporation,NM,Healthcare Provider,3830,7/8/2010,Theft,Laptop,No
University of Florida,FL,Healthcare Provider,2047,7/8/2010,Other,Paper/Films,No
Governor's Office of Information Technology,CO,Business Associate,105470,7/9/2010,Theft,Desktop Computer,Yes
Prince William County Community Services (CS),VA,Healthcare Provider,669,7/15/2010,Theft,Other Portable Electronic Device,No
UnitedHealthcare Insurance Company ,MN,Business Associate,1097,7/17/2010,Other,Paper/Films,Yes
"Iron Mountain Data Products, Inc. (now known as ",PA,Business Associate,800000,7/19/2010,Loss,"Electronic Medical Record, Other, Other Portable Electronic Device",Yes
Montefiore Medical Center,NY,Healthcare Provider,23753,7/23/2010,Theft,Desktop Computer,No
"Medina OB/GYN Associates, Inc",OH,Business Associate,1200,7/23/2010,Improper Disposal,Paper/Films,Yes
The University of Texas at Arlington,TX,Healthcare Provider,27000,7/23/2010,Hacking/IT Incident,Network Server,No
"DC Chartered Health Plan, Inc",DC,Health Plan,540,7/23/2010,Theft,Laptop,No
Montefiore Medical Center,NY,Healthcare Provider,16820,7/23/2010,Theft,Desktop Computer,No
Aetna,CT,Health Plan,6372,7/27/2010,,Paper/Films,No
Charles Mitchell MD,TX,Healthcare Provider,6873,7/28/2010,Theft,Desktop Computer,No
Baylor College of Medicine,TX,Healthcare Provider,1646,7/30/2010,Theft,Laptop,No
Mercer,,Business Associate,1073,7/30/2010,Loss,Other,Yes
Matrix Imaging,NY,Business Associate,2631,7/30/2010,Theft,Paper/Films,Yes
Carolina Center for Development and Rehabilitation,NC,Healthcare Provider,1590,7/30/2010,Theft,Paper/Films,No
"WellPoint, Inc.",IN,Health Plan,31700,7/30/2010,Hacking/IT Incident,Network Server,No
Texas Children's Hospital,TX,Healthcare Provider,694,7/30/2010,Theft,Laptop,No
Wright State Physicians,OH,Healthcare Provider,1309,8/3/2010,Other,Laptop,No
Penn Treaty Network America Insurance Company ,PA,Health Plan,560,8/3/2010,Other,Other,No
Jewish Hospital,KY,Healthcare Provider,2089,8/5/2010,Theft,Laptop,No
McKesson Pharmacy Systems LLC,GA,Business Associate,11440,8/5/2010,Other,"Other, Other Portable Electronic Device",Yes
"Beauty Dental, Inc.",IL,Healthcare Provider,657,8/5/2010,"Loss, Theft",Paper/Films,No
Fort Worth Allergy and Asthma Associates,TX,Healthcare Provider,25000,8/5/2010,Theft,Network Server,No
Aultman Hospital,OH,Healthcare Provider,13867,8/5/2010,Theft,Laptop,No
UNCG Speech and Hearing Center,NC,Healthcare Provider,2300,8/9/2010,Hacking/IT Incident,Desktop Computer,No
St. John's Mercy Medical Group,MO,Healthcare Provider,1907,8/9/2010,Improper Disposal,Paper/Films,No
"Thomas Jefferson University Hospitals, Inc.",PA,Healthcare Provider,21000,8/9/2010,Theft,Laptop,No
Mercer Health & Benefits,ID,Business Associate,5500,8/10/2010,Loss,Other,Yes
"Ward A. Morris, DDS",WA,Healthcare Provider,2698,8/11/2010,Theft,Desktop Computer,No
Loma Linda University School of Dentistry,CA,Healthcare Provider,10100,8/11/2010,Theft,Desktop Computer,No
"Chattanooga Family Practice Associates, P.C.",TN,Healthcare Provider,1711,8/16/2010,Loss,"Other, Other Portable Electronic Device",No
Yale University,CT,Healthcare Provider,1000,8/18/2010,Theft,Laptop,No
"Eastmoreland Surgical Clinic, William Graham, DO",OR,Healthcare Provider,4328,8/20/2010,Theft,"Desktop Computer, Laptop, Other, Other Portable Electronic Device",No
Cook County Health & Hospitals System,IL,Healthcare Provider,7081,8/20/2010,Theft,Laptop,No
Pioneer Valley Pathology,MA,Business Associate,24750,8/25/2010,Theft,Paper/Films,Yes
SunBridge Healthcare Corporation,NM,Healthcare Provider,1000,8/25/2010,Theft,"Other, Other Portable Electronic Device",No
KPMG LLP,NY,Business Associate,956,8/26/2010,Theft,"Other, Other Portable Electronic Device",Yes
KPMG LLP,NY,Business Associate,3630,8/26/2010,Theft,Other Portable Electronic Device,Yes
NYU School of Medicine--Aging and Dementia Clinical Research Center ,NY,Healthcare Provider,1200,8/27/2010,Loss,"Other, Other Portable Electronic Device",No
Aon Consulting,PA,Business Associate,22642,9/7/2010,Other,Network Server,Yes
University of Rochester Medical Center and Affiliates,NY,Healthcare Provider,857,9/7/2010,Loss,Other Portable Electronic Device,No
Mayo Clinic,MN,Healthcare Provider,1740,9/8/2010,Theft,Electronic Medical Record,No
"Curtis R. Bryan, M.D.",VA,Healthcare Provider,2739,9/8/2010,Theft,Laptop,No
The Kent Center ,RI,Healthcare Provider,1361,9/10/2010,Theft,Paper/Films,No
LabCorp Patient Service Center,NV,Healthcare Provider,507,9/10/2010,Theft,Paper/Films,No
"Pediatric and Adult Allergy, PC",IA,Healthcare Provider,19222,9/11/2010,Loss,Other Portable Electronic Device,No
Ault Chiropractic Center,IN,Healthcare Provider,2000,9/15/2010,Theft,"Desktop Computer, Laptop",No
County of Los Angeles,CA,Healthcare Provider,33000,9/17/2010,Theft,Paper/Films,No
"Matthew H. Conrad, M.D., P.A.",KS,Healthcare Provider,1200,9/19/2010,Theft,"Laptop, Paper/Films",No
CareCore National,SC,Business Associate,1270,9/20/2010,Other,Paper/Films,Yes
Counseling and Psychotherapy of Throggs Neck,NY,Healthcare Provider,9000,9/21/2010,Theft,Desktop Computer,No
Alaskan AIDS Assistance Association,AK,Business Associate,2000,9/22/2010,Theft,"Other, Other Portable Electronic Device",Yes
"St. Vincent Hospital and Health Care Center, Inc.",IN,Healthcare Provider,1199,9/23/2010,Theft,Laptop,No
Oroville Hospital,CA,Business Associate,1474,9/23/2010,Theft,"Other, Other Portable Electronic Device",Yes
Eden Medical Center,CA,Business Associate,1474,9/23/2010,Theft,"Other, Other Portable Electronic Device",Yes
NewYork-Presbyterian Hospital and Columbia University Medical Center,NY,Healthcare Provider,6800,9/24/2010,Theft,Network Server,No
St. James Hospital and Health Centers,IL,Healthcare Provider,967,9/24/2010,Improper Disposal,Paper/Films,No
"University of Oklahoma - Tulsa, Neurology Clinic",OK,Healthcare Provider,19200,9/27/2010,Hacking/IT Incident,Desktop Computer,No
"LORENZO BROWN, MD INC.",CA,Healthcare Provider,928,9/29/2010,Theft,Desktop Computer,No
Joseph A. Gagnon d/b/a Goldthwait Associates,MA,Business Associate,11000,10/1/2010,Improper Disposal,Paper/Films,Yes
"Debra C. Duffy, DDS",TX,Healthcare Provider,4700,10/5/2010,Theft,"Laptop, Network Server",No
"Cumberland Gastroenterology, P.S.C.",KY,Healthcare Provider,2200,10/5/2010,Theft,Paper/Films,No
WESTMED Medical Group,NY,Healthcare Provider,578,10/5/2010,Theft,Laptop,No
Johns Hopkins University Applied Physics Laboratory (JHU/APL) Medical and Dental Insurance Plan,MD,Health Plan,692,10/6/2010,Other,Other,No
LoneStar Audiology Group,TX,Healthcare Provider,585,10/8/2010,Theft,Laptop,No
Utah Department of Workforce Services,UT,Business Associate,1298,10/13/2010,Other,"Desktop Computer, Paper/Films",Yes
SW Seattle Orthopaedic and Sports Medicine,WA,Healthcare Provider,9493,10/15/2010,Hacking/IT Incident,Network Server,No
University of Arkansas for Medical Sciences,AR,Healthcare Provider,1000,10/18/2010,Theft,"Other, Other Portable Electronic Device",No
Aspen Dental Care P.C.,CO,Healthcare Provider,2500,10/26/2010,Theft,Other,No
"BlueCross BlueShield of Tennessee, Inc.",TN,Health Plan,1023209,11/1/2010,Theft,Other,No
Northridge Hospital Medical Center,CA,Healthcare Provider,716,11/2/2010,Loss,Paper/Films,No
Puerto Rico Department of Health - Triple S Management Corp.,,Health Plan,475000,11/4/2010,Unauthorized Access/Disclosure,Network Server,Yes
"Aetna, Inc.",CT,Health Plan,2345,11/7/2010,Unauthorized Access/Disclosure,Network Server,No
Sta-home Health & Hospice,MS,Healthcare Provider,1104,11/8/2010,Theft,Desktop Computer,No
Medical Card System/MCS-HMO/MCS Advantage/MCS Life,PR,Business Associate,115000,11/9/2010,Unauthorized Access/Disclosure,"Other, Other Portable Electronic Device",Yes
VNA of Southeastern Ct.,CT,Healthcare Provider,12000,11/11/2010,Theft,Laptop,No
"Prime Home Care, LLC",NE,Healthcare Provider,1550,11/12/2010,Theft,Desktop Computer,No
"Manor Care Indy (South), LLC.",IN,Healthcare Provider,845,11/12/2010,Unauthorized Access/Disclosure,Paper/Films,No
Visiting Nurse Service Association of Schenectady County,NY,Healthcare Provider,535,11/12/2010,Theft,Laptop,No
Henry Ford Hospital,MI,Healthcare Provider,3700,11/15/2010,Theft,Laptop,No
"Robert Wheatley, DDS, PC",MO,Healthcare Provider,1400,11/15/2010,Theft,Laptop,No
Holy Cross Hospital,FL,Healthcare Provider,1500,11/16/2010,Theft,Paper/Films,No
"Professional Transcription Company, Inc.",NY,Business Associate,1744,11/24/2010,Theft,Network Server,Yes
Memorial Hospital of Gardena,CA,Healthcare Provider,771,11/25/2010,Unauthorized Access/Disclosure,Paper/Films,No
Oklahoma City VA Medical Center,OK,Healthcare Provider,1950,11/29/2010,"Improper Disposal, Loss, Theft",Paper/Films,No
Kings County Hospital Center,NY,Healthcare Provider,542,11/30/2010,Theft,Desktop Computer,No
Albert Einstein Healthcare Network,PA,Healthcare Provider,613,11/30/2010,Theft,Desktop Computer,No
University of Tennessee Medical Center,TN,Healthcare Provider,8200,11/30/2010,Improper Disposal,Paper/Films,No
H.E.L.P. Financial Corporation,MI,Business Associate,9475,12/3/2010,Unauthorized Access/Disclosure,Paper/Films,Yes
zarzamora family dental care,TX,Healthcare Provider,800,12/7/2010,Theft,Desktop Computer,No
"Gary C. Spinks, DMD, PC",MD,Healthcare Provider,1000,12/13/2010,Hacking/IT Incident,"Desktop Computer, Network Server",No
Hospital Auxilio Mutuo,,Healthcare Provider,1000,12/13/2010,Theft,"Desktop Computer, Laptop",No
"Gair Medical Transcription Services, Inc.",PA,Business Associate,1085,12/15/2010,Unauthorized Access/Disclosure,Network Server,Yes
Cook County Health & Hospitals System,IL,Healthcare Provider,556,12/17/2010,Theft,Desktop Computer,No
"Dean Health Systems, Inc.; St. Mary's Hospital; St. Marys Dean Ventures, Incorporated",WI,Healthcare Provider,3288,12/20/2010,Theft,Laptop,No
Riverside Mercy Hospital and Ohio/Mercy Diagnostics,OH,Healthcare Provider,1000,12/21/2010,Improper Disposal,Paper/Films,No
California Therapy Solutions,CA,Healthcare Provider,1250,12/22/2010,Theft,"Other, Other Portable Electronic Device",No
The Southwestern Indiana Regional Council on Aging,IN,Business Associate,757,12/27/2010,Theft,Laptop,Yes
Hils Transcription,IN,Business Associate,585,12/27/2010,Unauthorized Access/Disclosure,Other,Yes
Geisinger Wyoming Valley Medical Center,PA,Healthcare Provider,2928,12/28/2010,Theft,Email,No
Mankato Clinic,MN,Healthcare Provider,3159,12/28/2010,Theft,Laptop,No
"Zenith Administrators, Inc.",MD,Business Associate,800,12/29/2010,Theft,Paper/Films,Yes
Our Lady of Peace Hospital,KY,Healthcare Provider,24600,12/29/2010,"Loss, Theft","Other, Other Portable Electronic Device",No
Keystone/AmeriHealth Mercy Health Plans,PA,Health Plan,808,12/30/2010,Loss,"Other, Other Portable Electronic Device",No
"Southern Perioperative Services, P.C.",AL,Healthcare Provider,2000,12/30/2010,Theft,"Other, Other Portable Electronic Device",No
"Ankle + Foot Center of Tampa Bay, Inc.",FL,Healthcare Provider,156000,1/3/2011,Theft,Network Server,No
OhioHealth Corporation dba Grant Medical Center,OH,Healthcare Provider,501,1/4/2011,Theft,"Desktop Computer, Laptop",No
"Seacoast Radiology, PA",NH,Healthcare Provider,231400,1/10/2011,Hacking/IT Incident,Network Server,No
Friendship Center Dental Office,FL,Healthcare Provider,2200,1/11/2011,Theft,Laptop,No
St.Vincent Hospital - Indianapolis,IN,Healthcare Provider,1848,1/12/2011,Hacking/IT Incident,"Email, Network Server",No
Centra,VA,Healthcare Provider,11982,1/12/2011,Theft,Laptop,No
Franciscan Medical Group,WA,Healthcare Clearing House,1250,1/13/2011,Theft,Desktop Computer,No
State of South Carolina Budget and Control Board Employee Insurance Program (EIP),SC,Health Plan,5596,1/14/2011,Theft,Desktop Computer,No
Lake Woods Nursing & Rehabilitation Center,MI,Healthcare Provider,656,1/18/2011,Theft,"Desktop Computer, Laptop",No
Travis Software Corp.,TX,Business Associate,16200,1/18/2011,Loss,"Other, Other Portable Electronic Device",Yes
J. A. Still Corporation,MO,Business Associate,4800,1/18/2011,Theft,Other,Yes
"Grays Harbor Pediatrics, PLLC",WA,Healthcare Provider,12009,1/21/2011,Theft,"Other, Other Portable Electronic Device",No
"Hanger Prosthetics & Orthotics, Inc.",TX,Healthcare Provider,4486,1/24/2011,Theft,Laptop,No
Baylor Heart and Vascular Center,TX,Healthcare Provider,8241,1/25/2011,Theft,"Other, Other Portable Electronic Device",No
"CHC MEMPHIS CMHC, LLC",TN,Healthcare Provider,500,1/28/2011,Theft,Desktop Computer,No
Integranetics,KY,Business Associate,18871,2/7/2011,Hacking/IT Incident,Network Server,Yes
Jefferson Center for Mental Health,CO,Healthcare Provider,546,2/7/2011,Theft,Paper/Films,No
"Ortho Montana, PSC",MT,Healthcare Provider,37000,2/8/2011,Theft,Laptop,No
Cancer Care Northwest P.S.,WA,Healthcare Provider,3100,2/9/2011,Theft,Paper/Films,No
Saint Louis University,MO,Healthcare Provider,800,2/10/2011,Hacking/IT Incident,Desktop Computer,No
GRM Information Management Services,NJ,Business Associate,1700000,2/11/2011,Theft,"Electronic Medical Record, Other",Yes
Long Beach Memorial Medical Center,CA,Healthcare Provider,2250,2/11/2011,Unauthorized Access/Disclosure,Other,No
Texas Health Harris Methodist Hospital Azle,TX,Healthcare Provider,9922,2/13/2011,"Loss, Theft","Other, Other Portable Electronic Device",No
Business Express,FL,Business Associate,2700,2/15/2011,Theft,"Other, Other Portable Electronic Device",Yes
Xforia Web Services,WV,Business Associate,3655,2/16/2011,Unauthorized Access/Disclosure,Network Server,Yes
Mountain Vista Medical Center,AZ,Healthcare Provider,2291,2/21/2011,Loss,"Other, Other Portable Electronic Device",No
Departamento de Salud de Puerto Rico,,Healthcare Provider,2621,2/22/2011,Loss,Desktop Computer,No
Henry Ford Hospital,MI,Healthcare Provider,2777,2/23/2011,Loss,"Other, Other Portable Electronic Device",No
TriWest Healthcare Alliance Corp.,AZ,Business Associate,4500,3/1/2011,Unauthorized Access/Disclosure,Paper/Films,Yes
Blue Cross and Blue Shield of Florida ,FL,Health Plan,7366,3/3/2011,Unknown,Other,No
"University Health Services, University of Massachusetts, Amherst",MA,Healthcare Provider,942,3/7/2011,Unauthorized Access/Disclosure,Desktop Computer,No
"Omnicare, Inc",KY,Healthcare Provider,8845,3/10/2011,Theft,Laptop,No
"JEFFREY J. SMITH, MD",OK,Healthcare Provider,600,3/16/2011,Theft,"Desktop Computer, Other, Other Portable Electronic Device",No
"Coventry Health Care, Inc.",MD,Business Associate,765,3/18/2011,Unauthorized Access/Disclosure,Paper/Films,Yes
Texas Health Arlington Memorial Hospital,TX,Healthcare Provider,654,3/23/2011,Unknown,Electronic Medical Record,No
"Rape & Brooks Orthodontics, P.C.",AL,Healthcare Provider,20744,3/28/2011,Theft,"Desktop Computer, Network Server, Other, Other Portable Electronic Device",No
NYU School of Medicine Faculty Group Practice,NY,Healthcare Provider,670,3/28/2011,Theft,Desktop Computer,No
EISENHOWER MEDICAL CENTER,CA,Healthcare Provider,514330,3/30/2011,Theft,Desktop Computer,No
Clarksburg - Louis A. Johnson VA Medical Center,WV,Healthcare Provider,1470,3/30/2011,Unauthorized Access/Disclosure,Paper/Films,No
County of Los Angeles,CA,Healthcare Provider,667,3/30/2011,Theft,Laptop,No
Trisha Elaine Cordova,AK,Business Associate,1700,3/31/2011,Theft,Laptop,Yes
"Park Avenue Obstetrics & Gynecology, PC",AZ,Healthcare Provider,635,3/31/2011,Theft,"Other, Other Portable Electronic Device",No
"Brian J Daniels D.D.S.,Paul R Daniels D.D.S.",AZ,Healthcare Provider,10000,4/4/2011,Theft,"Other, Other Portable Electronic Device",No
Hartford Hospital,CT,Business Associate,93500,4/5/2011,Theft,Other,Yes
"Patient Care Services at Saint Francis, Inc.",OK,Healthcare Provider,84000,4/6/2011,Theft,Network Server,No
Union Security Insurance Company,MO,Health Plan,935,4/8/2011,Unauthorized Access/Disclosure,Other,No
Oklaholma State Dept. of Health,OK,Healthcare Provider,132940,4/11/2011,Theft,"Laptop, Paper/Films",No
Aiken Community Based Outpatient Clinic,SC,Healthcare Provider,2717,4/12/2011,Improper Disposal,Paper/Films,No
Fairview Health Services,MN,Healthcare Provider,1215,4/14/2011,Loss,Paper/Films,No
IBM,NY,Business Associate,1900000,4/14/2011,Unknown,Other,Yes
SW General Inc,AZ,Healthcare Provider,566,4/14/2011,Theft,Paper/Films,No
